Tanque,pH,Temperatura_C,Fecha,Hora,Jornada,Fecha_Hora,evento_externo,estado
Tanque 1,7.1,18.73,2025-02-03,08:25:00,Dia,2025-02-03 08:25:00,Ninguno,0
Tanque 2,6.98,18.41,2025-02-03,08:30:00,Dia,2025-02-03 08:30:00,Ninguno,0
Tanque 3,7.21,18.68,2025-02-03,08:35:00,Dia,2025-02-03 08:35:00,Ninguno,0
Tanque 4,7.15,17.81,2025-02-03,08:40:00,Dia,2025-02-03 08:40:00,Ninguno,0
Tanque 5,7.06,18.84,2025-02-03,08:45:00,Dia,2025-02-03 08:45:00,Ninguno,0
Tanque 6,7.08,19.19,2025-02-03,08:50:00,Dia,2025-02-03 08:50:00,Ninguno,0
Tanque 7,7.1,19.35,2025-02-03,08:55:00,Dia,2025-02-03 08:55:00,Ninguno,0
Tanque 8,7.1,19.57,2025-02-03,09:00:00,Dia,2025-02-03 09:00:00,Ninguno,0
Tanque 9,7.02,18.97,2025-02-03,09:05:00,Dia,2025-02-03 09:05:00,Ninguno,0
Tanque 10,7.1,18.6,2025-02-03,09:10:00,Dia,2025-02-03 09:10:00,Ninguno,0
Tanque 1,7.22,19.19,2025-02-03,15:00:00,Tarde,2025-02-03 15:00:00,Ninguno,0
Tanque 2,6.97,19.36,2025-02-03,15:05:00,Tarde,2025-02-03 15:05:00,Ninguno,0
Tanque 3,7.12,19.21,2025-02-03,15:10:00,Tarde,2025-02-03 15:10:00,Ninguno,0
Tanque 4,7.23,17.17,2025-02-03,15:15:00,Tarde,2025-02-03 15:15:00,Ninguno,0
Tanque 5,7.06,19.25,2025-02-03,15:20:00,Tarde,2025-02-03 15:20:00,Ninguno,0
Tanque 6,6.99,18.8,2025-02-03,15:25:00,Tarde,2025-02-03 15:25:00,Ninguno,0
Tanque 7,7.21,21.21,2025-02-03,15:30:00,Tarde,2025-02-03 15:30:00,Ninguno,1
Tanque 8,7.16,19.05,2025-02-03,15:35:00,Tarde,2025-02-03 15:35:00,Ninguno,0
Tanque 9,7.11,19.2,2025-02-03,15:40:00,Tarde,2025-02-03 15:40:00,Ninguno,0
Tanque 10,7.18,19.1,2025-02-03,15:45:00,Tarde,2025-02-03 15:45:00,Ninguno,0
Tanque 1,6.97,18.87,2025-02-04,08:25:00,Dia,2025-02-04 08:25:00,Ninguno,0
Tanque 2,7.04,18.64,2025-02-04,08:30:00,Dia,2025-02-04 08:30:00,Ninguno,0
Tanque 3,7.05,19.03,2025-02-04,08:35:00,Dia,2025-02-04 08:35:00,Ninguno,0
Tanque 4,7.02,18.01,2025-02-04,08:40:00,Dia,2025-02-04 08:40:00,Ninguno,0
Tanque 5,6.93,19.25,2025-02-04,08:45:00,Dia,2025-02-04 08:45:00,Ninguno,0
Tanque 6,6.96,18.79,2025-02-04,08:50:00,Dia,2025-02-04 08:50:00,Ninguno,0
Tanque 7,7.13,20.2,2025-02-04,08:55:00,Dia,2025-02-04 08:55:00,Ninguno,1
Tanque 8,6.94,19.1,2025-02-04,09:00:00,Dia,2025-02-04 09:00:00,Ninguno,0
Tanque 9,7.01,19.11,2025-02-04,09:05:00,Dia,2025-02-04 09:05:00,Ninguno,0
Tanque 10,7.03,18.77,2025-02-04,09:10:00,Dia,2025-02-04 09:10:00,Ninguno,0
Tanque 1,6.95,18.78,2025-02-04,15:00:00,Tarde,2025-02-04 15:00:00,Ninguno,0
Tanque 2,6.97,18.32,2025-02-04,15:05:00,Tarde,2025-02-04 15:05:00,Ninguno,0
Tanque 3,6.96,18.9,2025-02-04,15:10:00,Tarde,2025-02-04 15:10:00,Ninguno,0
Tanque 4,7.03,18.27,2025-02-04,15:15:00,Tarde,2025-02-04 15:15:00,Ninguno,0
Tanque 5,7.01,18.92,2025-02-04,15:20:00,Tarde,2025-02-04 15:20:00,Ninguno,0
Tanque 6,6.98,18.81,2025-02-04,15:25:00,Tarde,2025-02-04 15:25:00,Ninguno,0
Tanque 7,7.12,20.5,2025-02-04,15:30:00,Tarde,2025-02-04 15:30:00,Ninguno,1
Tanque 8,6.96,19.67,2025-02-04,15:35:00,Tarde,2025-02-04 15:35:00,Ninguno,0
Tanque 10,6.95,19.44,2025-02-04,15:45:00,Tarde,2025-02-04 15:45:00,Ninguno,0
Tanque 1,7.1,18.98,2025-02-05,08:25:00,Dia,2025-02-05 08:25:00,Ninguno,0
Tanque 2,7.06,17.74,2025-02-05,08:30:00,Dia,2025-02-05 08:30:00,Ninguno,0
Tanque 3,6.96,18.62,2025-02-05,08:35:00,Dia,2025-02-05 08:35:00,Ninguno,0
Tanque 5,6.9,19.22,2025-02-05,08:45:00,Dia,2025-02-05 08:45:00,Ninguno,0
Tanque 6,6.96,18.68,2025-02-05,08:50:00,Dia,2025-02-05 08:50:00,Ninguno,0
Tanque 7,7.16,19.96,2025-02-05,08:55:00,Dia,2025-02-05 08:55:00,Ninguno,0
Tanque 8,6.98,19.08,2025-02-05,09:00:00,Dia,2025-02-05 09:00:00,Ninguno,0
Tanque 9,6.87,18.73,2025-02-05,09:05:00,Dia,2025-02-05 09:05:00,Ninguno,0
Tanque 10,6.98,18.65,2025-02-05,09:10:00,Dia,2025-02-05 09:10:00,Ninguno,0
Tanque 1,7.18,19.18,2025-02-05,15:00:00,Tarde,2025-02-05 15:00:00,Ninguno,0
